amount,category,date,name,newBalance,previousBalance,reference,timeDiff,dayOfWeek
19,N/A,N/A,N/A,1323,1342,N/A,9,3
42,N/A,N/A,N/A,1281,1323,N/A,12,6
35,N/A,N/A,N/A,1246,1281,N/A,17,5
16,N/A,N/A,N/A,1230,1246,N/A,20,2
39,N/A,N/A,N/A,1191,1230,N/A,23,5
38,N/A,N/A,N/A,1153,1191,N/A,29,5
16,N/A,N/A,N/A,1137,1153,N/A,33,3
19,N/A,N/A,N/A,1118,1137,N/A,39,3
12,N/A,N/A,N/A,1106,1118,N/A,43,1
44,N/A,N/A,N/A,1062,1106,N/A,48,6
36,N/A,N/A,N/A,1026,1062,N/A,53,5
12,N/A,N/A,N/A,1014,1026,N/A,56,2
7,N/A,N/A,N/A,1007,1014,N/A,61,1
11,N/A,N/A,N/A,996,1007,N/A,67,1
42,N/A,N/A,N/A,954,996,N/A,72,6
22,N/A,N/A,N/A,932,954,N/A,76,4
15,N/A,N/A,N/A,917,932,N/A,81,3
13,N/A,N/A,N/A,904,917,N/A,85,1
28,N/A,N/A,N/A,876,904,N/A,88,4
32,N/A,N/A,N/A,844,876,N/A,94,4
30,N/A,N/A,N/A,814,844,N/A,100,4
14,N/A,N/A,N/A,800,814,N/A,104,2
13,N/A,N/A,N/A,787,800,N/A,110,2
12,N/A,N/A,N/A,775,787,N/A,115,1
42,N/A,N/A,N/A,733,775,N/A,120,6
5,N/A,N/A,N/A,728,733,N/A,126,0
36,N/A,N/A,N/A,692,728,N/A,131,5
18,N/A,N/A,N/A,674,692,N/A,135,3
44,N/A,N/A,N/A,630,674,N/A,138,6
10,N/A,N/A,N/A,649,659,N/A,3,2
33,N/A,N/A,N/A,616,649,N/A,6,5
19,N/A,N/A,N/A,597,616,N/A,10,3
41,N/A,N/A,N/A,556,597,N/A,13,6
23,N/A,N/A,N/A,533,556,N/A,17,4
21,N/A,N/A,N/A,512,533,N/A,22,3
20,N/A,N/A,N/A,492,512,N/A,28,3
22,N/A,N/A,N/A,470,492,N/A,34,3
42,N/A,N/A,N/A,428,470,N/A,37,6
5,N/A,N/A,N/A,423,428,N/A,43,0
28,N/A,N/A,N/A,395,423,N/A,47,4
25,N/A,N/A,N/A,370,395,N/A,53,4
27,N/A,N/A,N/A,343,370,N/A,59,4
29,N/A,N/A,N/A,314,343,N/A,65,4
21,N/A,N/A,N/A,293,314,N/A,70,3
20,N/A,N/A,N/A,273,293,N/A,76,3
15,N/A,N/A,N/A,258,273,N/A,82,3
43,N/A,N/A,N/A,215,258,N/A,85,6
6,N/A,N/A,N/A,209,215,N/A,91,0
37,N/A,N/A,N/A,172,209,N/A,96,5
22,N/A,N/A,N/A,150,172,N/A,101,4
21,N/A,N/A,N/A,129,150,N/A,106,3
15,N/A,N/A,N/A,114,129,N/A,111,2
41,N/A,N/A,N/A,73,114,N/A,115,6
21,N/A,N/A,N/A,52,73,N/A,118,3
14,N/A,N/A,N/A,38,52,N/A,123,2
13,N/A,N/A,N/A,25,38,N/A,129,2
8,N/A,N/A,N/A,17,25,N/A,134,1
33,N/A,N/A,N/A,-16,17,N/A,138,5
17,N/A,N/A,N/A,1378,1395,N/A,4,2
16,N/A,N/A,N/A,1362,1378,N/A,10,2
8,N/A,N/A,N/A,1354,1362,N/A,15,1
38,N/A,N/A,N/A,1316,1354,N/A,19,5
38,N/A,N/A,N/A,1278,1316,N/A,25,5
10,N/A,N/A,N/A,1268,1278,N/A,28,2
7,N/A,N/A,N/A,1261,1268,N/A,33,1
10,N/A,N/A,N/A,1251,1261,N/A,39,1
10,N/A,N/A,N/A,1241,1251,N/A,45,1
41,N/A,N/A,N/A,1200,1241,N/A,50,6
28,N/A,N/A,N/A,1172,1200,N/A,54,4
13,N/A,N/A,N/A,1159,1172,N/A,58,2
10,N/A,N/A,N/A,1149,1159,N/A,63,1
44,N/A,N/A,N/A,1105,1149,N/A,68,6
39,N/A,N/A,N/A,1066,1105,N/A,73,5
16,N/A,N/A,N/A,1050,1066,N/A,76,2
41,N/A,N/A,N/A,1009,1050,N/A,80,6
7,N/A,N/A,N/A,1002,1009,N/A,86,0
16,N/A,N/A,N/A,986,1002,N/A,89,3
9,N/A,N/A,N/A,977,986,N/A,93,1
12,N/A,N/A,N/A,965,977,N/A,99,1
25,N/A,N/A,N/A,940,965,N/A,102,4
30,N/A,N/A,N/A,910,940,N/A,108,4
23,N/A,N/A,N/A,887,910,N/A,114,4
12,N/A,N/A,N/A,875,887,N/A,118,2
16,N/A,N/A,N/A,859,875,N/A,124,2
39,N/A,N/A,N/A,820,859,N/A,127,5
18,N/A,N/A,N/A,802,820,N/A,131,3
9,N/A,N/A,N/A,793,802,N/A,135,1
43,N/A,N/A,N/A,750,793,N/A,140,6
11,N/A,N/A,N/A,1345,1356,N/A,5,1
35,N/A,N/A,N/A,1310,1345,N/A,9,5
35,N/A,N/A,N/A,1275,1310,N/A,15,5
32,N/A,N/A,N/A,1243,1275,N/A,21,5
27,N/A,N/A,N/A,1216,1243,N/A,26,4
14,N/A,N/A,N/A,1202,1216,N/A,29,1
43,N/A,N/A,N/A,1159,1202,N/A,34,6
23,N/A,N/A,N/A,1136,1159,N/A,38,4
8,N/A,N/A,N/A,1128,1136,N/A,41,1
22,N/A,N/A,N/A,1106,1128,N/A,44,4
10,N/A,N/A,N/A,1096,1106,N/A,47,1
22,N/A,N/A,N/A,1074,1096,N/A,50,4
30,N/A,N/A,N/A,1044,1074,N/A,56,4
9,N/A,N/A,N/A,1035,1044,N/A,59,1
26,N/A,N/A,N/A,1009,1035,N/A,62,4
19,N/A,N/A,N/A,990,1009,N/A,67,3
42,N/A,N/A,N/A,948,990,N/A,70,6
20,N/A,N/A,N/A,928,948,N/A,73,3
7,N/A,N/A,N/A,921,928,N/A,77,1
32,N/A,N/A,N/A,889,921,N/A,81,5
23,N/A,N/A,N/A,866,889,N/A,85,3
16,N/A,N/A,N/A,850,866,N/A,90,2
13,N/A,N/A,N/A,837,850,N/A,95,1
10,N/A,N/A,N/A,827,837,N/A,101,1
32,N/A,N/A,N/A,795,827,N/A,105,5
12,N/A,N/A,N/A,783,795,N/A,108,2
7,N/A,N/A,N/A,776,783,N/A,113,1
41,N/A,N/A,N/A,735,776,N/A,118,6
30,N/A,N/A,N/A,705,735,N/A,122,4
14,N/A,N/A,N/A,691,705,N/A,127,3
24,N/A,N/A,N/A,1861,1885,N/A,3,4
17,N/A,N/A,N/A,1844,1861,N/A,7,2
12,N/A,N/A,N/A,1832,1844,N/A,13,2
44,N/A,N/A,N/A,1788,1832,N/A,17,6
28,N/A,N/A,N/A,1760,1788,N/A,21,4
16,N/A,N/A,N/A,1744,1760,N/A,26,3
10,N/A,N/A,N/A,1734,1744,N/A,31,2
17,N/A,N/A,N/A,1717,1734,N/A,37,2
41,N/A,N/A,N/A,1676,1717,N/A,41,6
19,N/A,N/A,N/A,1657,1676,N/A,44,3
16,N/A,N/A,N/A,1641,1657,N/A,49,2
34,N/A,N/A,N/A,1607,1641,N/A,52,5
20,N/A,N/A,N/A,1587,1607,N/A,56,3
13,N/A,N/A,N/A,1574,1587,N/A,60,1
32,N/A,N/A,N/A,1542,1574,N/A,64,5
14,N/A,N/A,N/A,1528,1542,N/A,67,2
33,N/A,N/A,N/A,1495,1528,N/A,70,5
29,N/A,N/A,N/A,1466,1495,N/A,75,4
28,N/A,N/A,N/A,1438,1466,N/A,81,4
14,N/A,N/A,N/A,1424,1438,N/A,84,1
29,N/A,N/A,N/A,1395,1424,N/A,87,4
13,N/A,N/A,N/A,1382,1395,N/A,91,2
42,N/A,N/A,N/A,1340,1382,N/A,95,6
6,N/A,N/A,N/A,1334,1340,N/A,101,0
44,N/A,N/A,N/A,1290,1334,N/A,107,6
8,N/A,N/A,N/A,1282,1290,N/A,113,0
43,N/A,N/A,N/A,1239,1282,N/A,119,6
22,N/A,N/A,N/A,1217,1239,N/A,122,3
11,N/A,N/A,N/A,1206,1217,N/A,126,1
8,N/A,N/A,N/A,1198,1206,N/A,132,1
37,N/A,N/A,N/A,418,455,N/A,4,5
28,N/A,N/A,N/A,390,418,N/A,9,4
11,N/A,N/A,N/A,379,390,N/A,13,2
8,N/A,N/A,N/A,371,379,N/A,18,1
34,N/A,N/A,N/A,337,371,N/A,22,5
11,N/A,N/A,N/A,326,337,N/A,25,2
32,N/A,N/A,N/A,294,326,N/A,28,5
39,N/A,N/A,N/A,255,294,N/A,34,5
26,N/A,N/A,N/A,229,255,N/A,39,4
28,N/A,N/A,N/A,201,229,N/A,45,4
24,N/A,N/A,N/A,177,201,N/A,51,4
18,N/A,N/A,N/A,159,177,N/A,56,3
21,N/A,N/A,N/A,138,159,N/A,62,3
23,N/A,N/A,N/A,115,138,N/A,68,3
19,N/A,N/A,N/A,96,115,N/A,74,3
11,N/A,N/A,N/A,85,96,N/A,78,1
41,N/A,N/A,N/A,44,85,N/A,83,6
35,N/A,N/A,N/A,9,44,N/A,88,5
24,N/A,N/A,N/A,-15,9,N/A,93,4
14,N/A,N/A,N/A,838,852,N/A,4,2
43,N/A,N/A,N/A,795,838,N/A,8,6
30,N/A,N/A,N/A,765,795,N/A,12,4
27,N/A,N/A,N/A,738,765,N/A,18,4
20,N/A,N/A,N/A,718,738,N/A,23,3
41,N/A,N/A,N/A,677,718,N/A,26,6
27,N/A,N/A,N/A,650,677,N/A,30,4
10,N/A,N/A,N/A,640,650,N/A,34,2
44,N/A,N/A,N/A,596,640,N/A,38,6
22,N/A,N/A,N/A,574,596,N/A,41,3
42,N/A,N/A,N/A,532,574,N/A,44,6
5,N/A,N/A,N/A,527,532,N/A,50,0
36,N/A,N/A,N/A,491,527,N/A,55,5
18,N/A,N/A,N/A,473,491,N/A,59,3
41,N/A,N/A,N/A,432,473,N/A,62,6
20,N/A,N/A,N/A,412,432,N/A,65,3
44,N/A,N/A,N/A,368,412,N/A,68,6
23,N/A,N/A,N/A,345,368,N/A,72,4
18,N/A,N/A,N/A,327,345,N/A,77,3
17,N/A,N/A,N/A,310,327,N/A,82,2
44,N/A,N/A,N/A,266,310,N/A,86,6
32,N/A,N/A,N/A,234,266,N/A,91,5
32,N/A,N/A,N/A,202,234,N/A,97,5
35,N/A,N/A,N/A,167,202,N/A,103,5
23,N/A,N/A,N/A,144,167,N/A,107,3
44,N/A,N/A,N/A,100,144,N/A,110,6
6,N/A,N/A,N/A,94,100,N/A,116,0
31,N/A,N/A,N/A,63,94,N/A,120,4
8,N/A,N/A,N/A,55,63,N/A,123,1
25,N/A,N/A,N/A,30,55,N/A,126,4
17,N/A,N/A,N/A,893,910,N/A,3,3
22,N/A,N/A,N/A,871,893,N/A,9,3
41,N/A,N/A,N/A,830,871,N/A,12,6
39,N/A,N/A,N/A,791,830,N/A,17,5
22,N/A,N/A,N/A,769,791,N/A,21,3
19,N/A,N/A,N/A,750,769,N/A,27,3
44,N/A,N/A,N/A,706,750,N/A,30,6
23,N/A,N/A,N/A,683,706,N/A,33,3
16,N/A,N/A,N/A,667,683,N/A,38,2
43,N/A,N/A,N/A,624,667,N/A,42,6
8,N/A,N/A,N/A,616,624,N/A,48,0
23,N/A,N/A,N/A,593,616,N/A,52,4
12,N/A,N/A,N/A,581,593,N/A,55,1
11,N/A,N/A,N/A,570,581,N/A,61,1
26,N/A,N/A,N/A,544,570,N/A,64,4
13,N/A,N/A,N/A,531,544,N/A,68,2
11,N/A,N/A,N/A,520,531,N/A,74,2
10,N/A,N/A,N/A,510,520,N/A,80,2
8,N/A,N/A,N/A,502,510,N/A,85,1
36,N/A,N/A,N/A,466,502,N/A,89,5
38,N/A,N/A,N/A,428,466,N/A,95,5
16,N/A,N/A,N/A,412,428,N/A,98,2
41,N/A,N/A,N/A,371,412,N/A,102,6
32,N/A,N/A,N/A,339,371,N/A,106,4
13,N/A,N/A,N/A,326,339,N/A,110,2
43,N/A,N/A,N/A,283,326,N/A,114,6
18,N/A,N/A,N/A,265,283,N/A,117,3
11,N/A,N/A,N/A,254,265,N/A,122,2
11,N/A,N/A,N/A,243,254,N/A,128,2
14,N/A,N/A,N/A,229,243,N/A,134,2
13,N/A,N/A,N/A,1005,1018,N/A,3,2
33,N/A,N/A,N/A,972,1005,N/A,6,5
15,N/A,N/A,N/A,957,972,N/A,10,3
23,N/A,N/A,N/A,934,957,N/A,16,3
12,N/A,N/A,N/A,922,934,N/A,21,2
8,N/A,N/A,N/A,914,922,N/A,26,1
14,N/A,N/A,N/A,900,914,N/A,32,1
43,N/A,N/A,N/A,857,900,N/A,37,6
31,N/A,N/A,N/A,826,857,N/A,41,4
16,N/A,N/A,N/A,810,826,N/A,46,3
11,N/A,N/A,N/A,799,810,N/A,50,1
24,N/A,N/A,N/A,775,799,N/A,53,4
13,N/A,N/A,N/A,762,775,N/A,56,1
23,N/A,N/A,N/A,739,762,N/A,59,4
22,N/A,N/A,N/A,717,739,N/A,65,4
15,N/A,N/A,N/A,702,717,N/A,69,2
11,N/A,N/A,N/A,691,702,N/A,74,1
30,N/A,N/A,N/A,661,691,N/A,77,4
18,N/A,N/A,N/A,643,661,N/A,82,3
14,N/A,N/A,N/A,629,643,N/A,88,3
11,N/A,N/A,N/A,618,629,N/A,92,1
36,N/A,N/A,N/A,582,618,N/A,96,5
25,N/A,N/A,N/A,557,582,N/A,101,4
23,N/A,N/A,N/A,534,557,N/A,106,3
12,N/A,N/A,N/A,522,534,N/A,111,2
36,N/A,N/A,N/A,486,522,N/A,114,5
20,N/A,N/A,N/A,466,486,N/A,118,3
42,N/A,N/A,N/A,424,466,N/A,121,6
22,N/A,N/A,N/A,402,424,N/A,124,3
42,N/A,N/A,N/A,360,402,N/A,127,6
15,N/A,N/A,N/A,718,733,N/A,4,2
10,N/A,N/A,N/A,708,718,N/A,10,2
44,N/A,N/A,N/A,664,708,N/A,14,6
16,N/A,N/A,N/A,648,664,N/A,17,3
12,N/A,N/A,N/A,636,648,N/A,21,1
31,N/A,N/A,N/A,605,636,N/A,24,4
28,N/A,N/A,N/A,577,605,N/A,30,4
11,N/A,N/A,N/A,566,577,N/A,33,1
43,N/A,N/A,N/A,523,566,N/A,38,6
6,N/A,N/A,N/A,517,523,N/A,44,0
34,N/A,N/A,N/A,483,517,N/A,49,5
14,N/A,N/A,N/A,469,483,N/A,53,3
8,N/A,N/A,N/A,461,469,N/A,57,1
14,N/A,N/A,N/A,447,461,N/A,63,1
28,N/A,N/A,N/A,419,447,N/A,66,4
16,N/A,N/A,N/A,403,419,N/A,70,2
37,N/A,N/A,N/A,366,403,N/A,73,5
37,N/A,N/A,N/A,329,366,N/A,79,5
33,N/A,N/A,N/A,296,329,N/A,85,5
17,N/A,N/A,N/A,279,296,N/A,88,2
14,N/A,N/A,N/A,265,279,N/A,94,2
13,N/A,N/A,N/A,252,265,N/A,100,2
33,N/A,N/A,N/A,219,252,N/A,103,5
19,N/A,N/A,N/A,200,219,N/A,107,3
11,N/A,N/A,N/A,189,200,N/A,111,1
25,N/A,N/A,N/A,164,189,N/A,114,4
29,N/A,N/A,N/A,135,164,N/A,120,4
17,N/A,N/A,N/A,118,135,N/A,124,2
33,N/A,N/A,N/A,85,118,N/A,127,5
35,N/A,N/A,N/A,50,85,N/A,133,5
10,N/A,N/A,N/A,1676,1686,N/A,6,1
43,N/A,N/A,N/A,1633,1676,N/A,11,6
18,N/A,N/A,N/A,1615,1633,N/A,14,3
12,N/A,N/A,N/A,1603,1615,N/A,18,1
24,N/A,N/A,N/A,1579,1603,N/A,21,4
13,N/A,N/A,N/A,1566,1579,N/A,25,2
34,N/A,N/A,N/A,1532,1566,N/A,28,5
17,N/A,N/A,N/A,1515,1532,N/A,31,2
32,N/A,N/A,N/A,1483,1515,N/A,34,5
13,N/A,N/A,N/A,1470,1483,N/A,37,2
12,N/A,N/A,N/A,1458,1470,N/A,42,1
8,N/A,N/A,N/A,1450,1458,N/A,48,1
43,N/A,N/A,N/A,1407,1450,N/A,53,6
6,N/A,N/A,N/A,1401,1407,N/A,59,0
16,N/A,N/A,N/A,1385,1401,N/A,62,3
9,N/A,N/A,N/A,1376,1385,N/A,66,1
36,N/A,N/A,N/A,1340,1376,N/A,70,5
15,N/A,N/A,N/A,1325,1340,N/A,73,2
41,N/A,N/A,N/A,1284,1325,N/A,77,6
23,N/A,N/A,N/A,1261,1284,N/A,80,3
10,N/A,N/A,N/A,1251,1261,N/A,85,2
44,N/A,N/A,N/A,1207,1251,N/A,89,6
15,N/A,N/A,N/A,1192,1207,N/A,92,3
12,N/A,N/A,N/A,1180,1192,N/A,97,2
8,N/A,N/A,N/A,1172,1180,N/A,102,1
41,N/A,N/A,N/A,1131,1172,N/A,107,6
9,N/A,N/A,N/A,1122,1131,N/A,113,0
23,N/A,N/A,N/A,1099,1122,N/A,116,3
23,N/A,N/A,N/A,1076,1099,N/A,122,3
16,N/A,N/A,N/A,1060,1076,N/A,127,2
9,N/A,N/A,N/A,1726,1735,N/A,6,1
10,N/A,N/A,N/A,1716,1726,N/A,12,1
38,N/A,N/A,N/A,1678,1716,N/A,16,5
19,N/A,N/A,N/A,1659,1678,N/A,20,3
10,N/A,N/A,N/A,1649,1659,N/A,25,2
11,N/A,N/A,N/A,1638,1649,N/A,31,2
13,N/A,N/A,N/A,1625,1638,N/A,37,2
34,N/A,N/A,N/A,1591,1625,N/A,40,5
32,N/A,N/A,N/A,1559,1591,N/A,46,5
31,N/A,N/A,N/A,1528,1559,N/A,51,4
29,N/A,N/A,N/A,1499,1528,N/A,57,4
16,N/A,N/A,N/A,1483,1499,N/A,62,3
41,N/A,N/A,N/A,1442,1483,N/A,65,6
8,N/A,N/A,N/A,1434,1442,N/A,71,0
42,N/A,N/A,N/A,1392,1434,N/A,77,6
8,N/A,N/A,N/A,1384,1392,N/A,83,0
39,N/A,N/A,N/A,1345,1384,N/A,88,5
15,N/A,N/A,N/A,1330,1345,N/A,91,2
41,N/A,N/A,N/A,1289,1330,N/A,95,6
8,N/A,N/A,N/A,1281,1289,N/A,101,0
22,N/A,N/A,N/A,1259,1281,N/A,105,4
14,N/A,N/A,N/A,1245,1259,N/A,109,2
37,N/A,N/A,N/A,1208,1245,N/A,112,5
37,N/A,N/A,N/A,1171,1208,N/A,118,5
17,N/A,N/A,N/A,1154,1171,N/A,122,3
12,N/A,N/A,N/A,1142,1154,N/A,126,1
30,N/A,N/A,N/A,1112,1142,N/A,129,4
12,N/A,N/A,N/A,1100,1112,N/A,132,1
41,N/A,N/A,N/A,1059,1100,N/A,137,6
24,N/A,N/A,N/A,1035,1059,N/A,141,4
9,N/A,N/A,N/A,1603,1612,N/A,6,1
43,N/A,N/A,N/A,1560,1603,N/A,11,6
23,N/A,N/A,N/A,1537,1560,N/A,14,3
7,N/A,N/A,N/A,1530,1537,N/A,18,1
23,N/A,N/A,N/A,1507,1530,N/A,21,4
12,N/A,N/A,N/A,1495,1507,N/A,24,1
41,N/A,N/A,N/A,1454,1495,N/A,29,6
31,N/A,N/A,N/A,1423,1454,N/A,33,4
20,N/A,N/A,N/A,1403,1423,N/A,38,3
44,N/A,N/A,N/A,1359,1403,N/A,41,6
5,N/A,N/A,N/A,1354,1359,N/A,47,0
39,N/A,N/A,N/A,1315,1354,N/A,52,5
16,N/A,N/A,N/A,1299,1315,N/A,56,3
42,N/A,N/A,N/A,1257,1299,N/A,59,6
7,N/A,N/A,N/A,1250,1257,N/A,65,0
24,N/A,N/A,N/A,1226,1250,N/A,69,4
30,N/A,N/A,N/A,1196,1226,N/A,75,4
19,N/A,N/A,N/A,1177,1196,N/A,80,3
12,N/A,N/A,N/A,1165,1177,N/A,84,1
41,N/A,N/A,N/A,1124,1165,N/A,89,6
14,N/A,N/A,N/A,1110,1124,N/A,92,3
23,N/A,N/A,N/A,1087,1110,N/A,98,3
21,N/A,N/A,N/A,1066,1087,N/A,104,3
16,N/A,N/A,N/A,1050,1066,N/A,110,3
44,N/A,N/A,N/A,1006,1050,N/A,113,6
36,N/A,N/A,N/A,970,1006,N/A,118,5
11,N/A,N/A,N/A,959,970,N/A,121,2
37,N/A,N/A,N/A,922,959,N/A,124,5
36,N/A,N/A,N/A,886,922,N/A,130,5
38,N/A,N/A,N/A,848,886,N/A,136,5
44,N/A,N/A,N/A,957,1001,N/A,6,6
17,N/A,N/A,N/A,940,957,N/A,9,3
13,N/A,N/A,N/A,927,940,N/A,14,2
39,N/A,N/A,N/A,888,927,N/A,17,5
35,N/A,N/A,N/A,853,888,N/A,23,5
15,N/A,N/A,N/A,838,853,N/A,27,3
13,N/A,N/A,N/A,825,838,N/A,31,1
22,N/A,N/A,N/A,803,825,N/A,34,4
23,N/A,N/A,N/A,780,803,N/A,40,4
13,N/A,N/A,N/A,767,780,N/A,43,1
44,N/A,N/A,N/A,723,767,N/A,48,6
16,N/A,N/A,N/A,707,723,N/A,51,3
17,N/A,N/A,N/A,690,707,N/A,56,2
17,N/A,N/A,N/A,673,690,N/A,62,2
10,N/A,N/A,N/A,663,673,N/A,68,2
44,N/A,N/A,N/A,619,663,N/A,72,6
22,N/A,N/A,N/A,597,619,N/A,76,4
23,N/A,N/A,N/A,574,597,N/A,82,4
13,N/A,N/A,N/A,561,574,N/A,86,2
43,N/A,N/A,N/A,518,561,N/A,90,6
33,N/A,N/A,N/A,485,518,N/A,95,5
14,N/A,N/A,N/A,471,485,N/A,98,2
8,N/A,N/A,N/A,463,471,N/A,103,1
11,N/A,N/A,N/A,452,463,N/A,109,1
42,N/A,N/A,N/A,410,452,N/A,114,6
25,N/A,N/A,N/A,385,410,N/A,118,4
23,N/A,N/A,N/A,362,385,N/A,123,3
19,N/A,N/A,N/A,343,362,N/A,129,3
42,N/A,N/A,N/A,301,343,N/A,132,6
30,N/A,N/A,N/A,271,301,N/A,136,4
19,N/A,N/A,N/A,591,610,N/A,5,3
13,N/A,N/A,N/A,578,591,N/A,9,1
7,N/A,N/A,N/A,571,578,N/A,15,1
43,N/A,N/A,N/A,528,571,N/A,20,6
37,N/A,N/A,N/A,491,528,N/A,25,5
33,N/A,N/A,N/A,458,491,N/A,31,5
16,N/A,N/A,N/A,442,458,N/A,35,3
43,N/A,N/A,N/A,399,442,N/A,38,6
19,N/A,N/A,N/A,380,399,N/A,41,3
22,N/A,N/A,N/A,358,380,N/A,47,3
23,N/A,N/A,N/A,335,358,N/A,53,3
17,N/A,N/A,N/A,318,335,N/A,59,3
44,N/A,N/A,N/A,274,318,N/A,62,6
19,N/A,N/A,N/A,255,274,N/A,65,3
13,N/A,N/A,N/A,242,255,N/A,70,2
34,N/A,N/A,N/A,208,242,N/A,73,5
35,N/A,N/A,N/A,173,208,N/A,79,5
33,N/A,N/A,N/A,140,173,N/A,85,5
16,N/A,N/A,N/A,124,140,N/A,89,3
41,N/A,N/A,N/A,83,124,N/A,92,6
31,N/A,N/A,N/A,52,83,N/A,96,4
30,N/A,N/A,N/A,22,52,N/A,102,4
17,N/A,N/A,N/A,5,22,N/A,107,3
16,N/A,N/A,N/A,-11,5,N/A,113,3
16,N/A,N/A,N/A,630,646,N/A,3,2
14,N/A,N/A,N/A,616,630,N/A,9,2
12,N/A,N/A,N/A,604,616,N/A,14,1
29,N/A,N/A,N/A,575,604,N/A,17,4
23,N/A,N/A,N/A,552,575,N/A,23,4
26,N/A,N/A,N/A,526,552,N/A,29,4
13,N/A,N/A,N/A,513,526,N/A,33,2
33,N/A,N/A,N/A,480,513,N/A,36,5
35,N/A,N/A,N/A,445,480,N/A,42,5
31,N/A,N/A,N/A,414,445,N/A,47,4
11,N/A,N/A,N/A,403,414,N/A,51,2
36,N/A,N/A,N/A,367,403,N/A,54,5
28,N/A,N/A,N/A,339,367,N/A,59,4
11,N/A,N/A,N/A,328,339,N/A,62,1
44,N/A,N/A,N/A,284,328,N/A,67,6
35,N/A,N/A,N/A,249,284,N/A,72,5
23,N/A,N/A,N/A,226,249,N/A,76,3
44,N/A,N/A,N/A,182,226,N/A,79,6
36,N/A,N/A,N/A,146,182,N/A,84,5
13,N/A,N/A,N/A,133,146,N/A,87,2
8,N/A,N/A,N/A,125,133,N/A,92,1
9,N/A,N/A,N/A,116,125,N/A,98,1
23,N/A,N/A,N/A,93,116,N/A,101,4
19,N/A,N/A,N/A,74,93,N/A,106,3
17,N/A,N/A,N/A,57,74,N/A,112,3
11,N/A,N/A,N/A,46,57,N/A,116,1
8,N/A,N/A,N/A,38,46,N/A,122,1
38,N/A,N/A,N/A,0,38,N/A,126,5
34,N/A,N/A,N/A,1224,1258,N/A,3,5
14,N/A,N/A,N/A,1210,1224,N/A,6,2
